"i","ai","bi","ri","f(ri)","f(ai)","f(b1)"
0,1,2,1.5,1.375,-1,6
1,1,1.5,1.25,-0.046875,-1,1.375
2,1.25,1.5,1.375,0.599609375,-0.046875,1.375
3,1.25,1.375,1.3125,0.260986328125,-0.046875,0.599609375
4,1.25,1.3125,1.28125,0.103302001953125,-0.046875,0.260986328125
5,1.25,1.28125,1.265625,0.0272865295410156,-0.046875,0.103302001953125
6,1.25,1.265625,1.2578125,-0.0100245475769043,-0.046875,0.0272865295410156
7,1.2578125,1.265625,1.26171875,0.00857323408126831,-0.0100245475769043,0.0272865295410156
8,1.2578125,1.26171875,1.259765625,-0.000740073621273041,-0.0100245475769043,0.00857323408126831
9,1.259765625,1.26171875,1.2607421875,0.00391297321766615,-0.000740073621273041,0.00857323408126831
10,1.259765625,1.2607421875,1.26025390625,0.00158554839435965,-0.000740073621273041,0.00391297321766615
11,1.259765625,1.26025390625,1.260009765625,0.000422512079239823,-0.000740073621273041,0.00158554839435965
12,1.259765625,1.260009765625,1.2598876953125,-0.000158837092385511,-0.000740073621273041,0.000422512079239823
13,1.2598876953125,1.260009765625,1.25994873046875,0.000131823412402809,-0.000158837092385511,0.000422512079239823
14,1.2598876953125,1.25994873046875,1.25991821289062,-1.35103601621722e-05,-0.000158837092385511,0.000131823412402809
15,1.25991821289062,1.25994873046875,1.25993347167969,5.91556460669551e-05,-1.35103601621722e-05,0.000131823412402809
16,1.25991821289062,1.25993347167969,1.25992584228516,2.28224229403828e-05,-1.35103601621722e-05,5.91556460669551e-05
17,1.25991821289062,1.25992584228516,1.25992202758789,4.65597638626969e-06,-1.35103601621722e-05,2.28224229403828e-05
18,1.25991821289062,1.25992202758789,1.25992012023926,-4.42720563863935e-06,-1.35103601621722e-05,4.65597638626969e-06
19,1.25992012023926,1.25992202758789,1.25992107391357,1.14381936140544e-07,-4.42720563863935e-06,4.65597638626969e-06
20,1.25992012023926,1.25992107391357,1.25992059707642,-2.15641271066774e-06,-4.42720563863935e-06,1.14381936140544e-07
21,1.25992059707642,1.25992107391357,1.259920835495,-1.02101560211826e-06,-2.15641271066774e-06,1.14381936140544e-07
22,1.259920835495,1.25992107391357,1.25992095470428,-4.53316886702511e-07,-1.02101560211826e-06,1.14381936140544e-07
23,1.25992095470428,1.25992107391357,1.25992101430893,-1.69467488709369e-07,-4.53316886702511e-07,1.14381936140544e-07
24,1.25992101430893,1.25992107391357,1.25992104411125,-2.75427796415364e-08,-1.69467488709369e-07,1.14381936140544e-07
"Resultado Final",1.25992104411125
