"i","ai","bi","ri","f(ri)","f(ai)","f(b1)"
0,1,2,1.14285714285714,-0.507288629737609,-1,6
1,1.14285714285714,2,1.20967741935484,-0.229855493269779,-0.507288629737609,6
2,1.20967741935484,2,1.23883700207914,-0.0987356468436857,-0.229855493269779,6
3,1.23883700207914,2,1.25115987116301,-0.0414330574838304,-0.0987356468436857,6
4,1.25115987116301,2,1.25629552950915,-0.0172158295665357,-0.0414330574838304,6
5,1.25629552950915,2,1.25842333907665,-0.00712392801557,-0.0172158295665357,6
6,1.25842333907665,2,1.25930278468385,-0.00294285995390401,-0.00712392801557,6
7,1.25930278468385,2,1.25966590127913,-0.00121482349408383,-0.00294285995390401,6
8,1.25966590127913,2,1.25981576681186,-0.000501337534451674,-0.00121482349408383,6
9,1.25981576681186,2,1.25987760866767,-0.000206868816404629,-0.000501337534451674,6
10,1.25987760866767,2,1.2599031258284,-8.53568315769891e-05,-0.000206868816404629,6
11,1.2599031258284,2,1.25991365439933,-3.52186454871078e-05,-8.53568315769891e-05,6
12,1.25991365439933,2,1.2599179985136,-1.45312623180977e-05,-3.52186454871078e-05,6
13,1.2599179985136,2,1.25991979089688,-5.99559822726814e-06,-1.45312623180977e-05,6
14,1.25991979089688,2,1.25992053043341,-2.47378002070364e-06,-5.99559822726814e-06,6
15,1.25992053043341,2,1.25992083556558,-1.02067945968233e-06,-2.47378002070364e-06,6
16,1.25992083556558,2,1.25992096146283,-4.21131343774955e-07,-1.02067945968233e-06,6
17,1.25992096146283,2,1.2599210134079,-1.73758361755893e-07,-4.21131343774955e-07,6
18,1.2599210134079,2,1.25992103484039,-7.16925193710921e-08,-1.73758361755893e-07,6
"Resultado Final",1.25992103484039
