"i","ri","f(ri)","f(ri+h)","ri+1"
0,1,-1,-0.99997,-0.33333
1,-0.33333,-2.03704,-2.03703,2.03712
2,2.03712,6.45373,6.45385,1.05602
3,1.05602,-0.822358,-0.822325,-0.259576
4,-0.259576,-2.01749,-2.01749,2.59085
5,2.59085,15.3911,15.3913,1.98018
6,1.98018,5.7645,5.76462,0.970362
7,0.970362,-1.0863,-1.08628,-0.373157
8,-0.373157,-2.05196,-2.05196,1.83302
9,1.83302,4.1589,4.159,0.756288
10,0.756288,-1.56742,-1.56741,-0.690832
11,-0.690832,-2.3297,-2.32968,1.12412
12,1.12412,-0.579514,-0.579476,-0.171841
13,-0.171841,-2.00507,-2.00507,3.88963
14,3.88963,56.8469,56.8474,4.87166
15,4.87166,113.619,113.62,7.77415
16,7.77415,467.85,467.852,20.06
17,20.06,8070.26,8070.27,134.102
18,134.102,2.41159e+06,2.41159e+06,5994.42
19,5994.42,2.15398e+11,2.15398e+11,1.19777e+07
20,1.19777e+07,1.71838e+21,1.71838e+21,4.78216e+13
21,4.78216e+13,1.09364e+41,1.09364e+41,6.92179e+26
22,6.92179e+26,3.31631e+80,3.31631e+80,inf
23,inf,inf,inf,-nan
"Resultado actual",-nan
