"i","ri","f(ri)","f'(r1)","ri+1"
0,0.4472135955000000000062777838483185632867389358580112457275390625,-0.35777087639998317571891732480349190836932393722236156463623046875,-0.39999999999988713919422955722637880171532742679119110107421875,-0.44721359550021030373166686100461220121360383927822113037109375
1,-0.44721359550021030373166686100461220121360383927822113037109375,0.3577708764000672972036519448035818413700326345860958099365234375,-0.3999999999993228351111672347339975885915919207036495208740234375,0.44721359550147212597558110669382358537404797971248626708984375
2,0.44721359550147212597558110669382358537404797971248626708984375,-0.35777087640057202611205966480412143937428481876850128173828125,-0.3999999999959370107212135170282607532499241642653942108154296875,-0.447213595509043059547486798077642333737458102405071258544921875
3,-0.447213595509043059547486798077642333737458102405071258544921875,0.35777087640360039953540093049522141654961160384118556976318359375,-0.39999999997562206421886088492101407609879970550537109375,0.4472135955544686608705007291320043805171735584735870361328125
4,0.4472135955544686608705007291320043805171735584735870361328125,-0.357770876421770640048343470329683668751385994255542755126953125,-0.399999999853732385204745092277534013192052952945232391357421875,-0.4472135958270222689712146413310023262965842150151729583740234375
5,-0.4472135958270222689712146413310023262965842150151729583740234375,0.35777087653079208315310376364859479281221865676343441009521484375,-0.399999999122394310686369467422451862148591317236423492431640625,0.4472135974623439226712483252068608408080763183534145355224609375
6,0.4472135974623439226712483252068608408080763183534145355224609375,-0.35777087718492073961326117859105266916230903007090091705322265625,-0.3999999947343658401031386839807879596264683641493320465087890625,-0.44721360727427403335999811506695778007269836962223052978515625
7,-0.44721360727427403335999811506695778007269836962223052978515625,0.3577708811096926030492597348153793745950679294764995574951171875,-0.3999999684061941741786659620938593207029043696820735931396484375,0.44721366614586147863498466481502191527397371828556060791015625
8,0.44721366614586147863498466481502191527397371828556060791015625,-0.3577709046583210712624660565506218290465767495334148406982421875,-0.3999998104371338524128630387277638646992272697389125823974609375,-0.4472140193756302725528774255625563682770007289946079254150390625
9,-0.4472140193756302725528774255625563682770007289946079254150390625,0.35777104594999423127672788513820023581502027809619903564453125,-0.3999988626216801734900192777377725406040553934872150421142578125,0.447216138763031470395974131815108876253361813724040985107421875
10,0.447216138763031470395974131815108876253361813724040985107421875,-0.357771893696517763829891001226002344992593862116336822509765625,-0.399993175689654942056745767775538524801959283649921417236328125,-0.4472288554038298846911303474627175091882236301898956298828125
11,-0.4472288554038298846911303474627175091882236301898956298828125,0.3577769800490908422133974620127361276900046505033969879150390625,-0.3999590526825406628405427944539241025267983786761760711669921875,0.447305166640344272106777356867723938194103538990020751953125
12,0.447305166640344272106777356867723938194103538990020751953125,-0.35780749360532776429306457688372944403454312123358249664306640625,-0.39975426369056152515503443911626391127356328070163726806640625,-0.447763444515974576363818993041121530040982179343700408935546875
13,-0.447763444515974576363818993041121530040982179343700408935546875,0.35799041021658938334089154753581141221729922108352184295654296875,-0.39852369326556927125147777868363618836156092584133148193359375,0.450527965169498724484244134291799355196417309343814849853515625
14,0.450527965169498724484244134291799355196417309343814849853515625,-0.35908184987311215084402303554522717377039953134953975677490234375,-0.39107365780069283244142763766859616225701756775379180908203125,-0.4676669648917711696553024813827192929238663055002689361572265625
15,-0.4676669648917711696553024813827192929238663055002689361572265625,0.36538240525235684980358448481485567072013509459793567657470703125,-0.343862829846756616592427791001540526849566958844661712646484375,0.5949148949015379505525676073762753048868034966289997100830078125
16,0.5949148949015379505525676073762753048868034966289997100830078125,-0.38436039497106659268616836444554252238958724774420261383056640625,0.061771196527123836228327646846736342922667972743511199951171875,6.8172388351913022451478152419213074608705937862396240234375
17,6.8172388351913022451478152419213074608705937862396240234375,310.012199925289593183119762898058979772031307220458984375,138.42423600812139024285318811280376394279301166534423828125,4.57765847798347133394691876873139335657469928264617919921875
18,4.57765847798347133394691876873139335657469928264617919921875,91.34697873454243323421142264351146877743303775787353515625,61.8648714231618539229062836426464855321682989597320556640625,3.10110196645821425552765060462689916676026768982410430908203125
19,3.10110196645821425552765060462689916676026768982410430908203125,26.72167902113995151432146446524029670399613678455352783203125,27.8505002191130102418004099718018551357090473175048828125,2.14163341792558792526547650769686015337356366217136383056640625
20,2.14163341792558792526547650769686015337356366217136383056640625,7.681168917535974925529795864775906011345796287059783935546875,12.759781090326907856784266481753320476855151355266571044921875,1.53965060464997380469676091507835735683329403400421142578125
21,1.53965060464997380469676091507835735683329403400421142578125,2.1101280812672577103829285594116527136065997183322906494140625,6.1115719531970898151414239851675347381387837231159210205078125,1.194382955438479857412058249277464483384392224252223968505859375
22,1.194382955438479857412058249277464483384392224252223968505859375,0.50946481911389711089328813375942672792007215321063995361328125,3.27965193272587328225664560221730425837449729442596435546875,1.0390418309641955116502665124045279299025423824787139892578125
23,1.0390418309641955116502665124045279299025423824787139892578125,0.082715965702994349926895079061495152927818708121776580810546875,2.23882377948028351622757059491419795449473895132541656494140625,1.00209566018419964973130975582904511611559428274631500244140625
24,1.00209566018419964973130975582904511611559428274631500244140625,0.004204504946925028048033967653651643558987416326999664306640625,2.0125871364800208174368478797333636975963599979877471923828125,1.000006555632791936465662840927137722246698103845119476318359375
25,1.000006555632791936465662840927137722246698103845119476318359375,1.3111394513118574713106401219420149573124945163726806640625e-05,2.00003933392568058265321984112716791059938259422779083251953125,1.000000000064463495847745522215888058781274594366550445556640625
26,1.000000000064463495847745522215888058781274594366550445556640625,1.2892699169549104443177611756254918873310089111328125e-10,2.000000000386780975303313567792429239489138126373291015625,1
"Resultado actual",1
