i,t,x,y,Vx,Vy
0,0,0,0,6.06218,3.5
2,0.001,0.00606218,0.00349266,6.06218,3.49022
4,0.002,0.0121244,0.00697555,6.06218,3.48044
6,0.003,0.0181865,0.0104487,6.06218,3.47066
8,0.004,0.0242487,0.013912,6.06218,3.46088
10,0.005,0.0303109,0.0173655,6.06218,3.4511
12,0.006,0.0363731,0.0208093,6.06218,3.44132
14,0.007,0.0424352,0.0242433,6.06218,3.43154
16,0.008,0.0484974,0.0276675,6.06218,3.42176
18,0.009,0.0545596,0.0310819,6.06218,3.41198
20,0.01,0.0606218,0.0344865,6.06218,3.4022
22,0.011,0.066684,0.0378814,6.06218,3.39242
24,0.012,0.0727461,0.0412665,6.06218,3.38264
26,0.013,0.0788083,0.0446418,6.06218,3.37286
28,0.014,0.0848705,0.0480073,6.06218,3.36308
30,0.015,0.0909327,0.0513631,6.06218,3.3533
32,0.016,0.0969948,0.054709,6.06218,3.34352
34,0.017,0.103057,0.0580452,6.06218,3.33374
36,0.018,0.109119,0.0613716,6.06218,3.32396
38,0.019,0.115181,0.0646883,6.06218,3.31418
40,0.02,0.121244,0.0679951,6.06218,3.3044
42,0.021,0.127306,0.0712922,6.06218,3.29462
44,0.022,0.133368,0.0745794,6.06218,3.28484
46,0.023,0.13943,0.077857,6.06218,3.27506
48,0.024,0.145492,0.0811247,6.06218,3.26528
50,0.025,0.151554,0.0843826,6.06218,3.2555
52,0.026,0.157617,0.0876308,6.06218,3.24572
54,0.027,0.163679,0.0908692,6.06218,3.23594
56,0.028,0.169741,0.0940978,6.06218,3.22616
58,0.029,0.175803,0.0973166,6.06218,3.21638
60,0.03,0.181865,0.100526,6.06218,3.2066
62,0.031,0.187928,0.103725,6.06218,3.19682
64,0.032,0.19399,0.106914,6.06218,3.18704
66,0.033,0.200052,0.110094,6.06218,3.17726
68,0.034,0.206114,0.113264,6.06218,3.16748
70,0.035,0.212176,0.116424,6.06218,3.1577
72,0.036,0.218238,0.119575,6.06218,3.14792
74,0.037,0.224301,0.122715,6.06218,3.13814
76,0.038,0.230363,0.125846,6.06218,3.12836
78,0.039,0.236425,0.128967,6.06218,3.11858
80,0.04,0.242487,0.132078,6.06218,3.1088
82,0.041,0.248549,0.13518,6.06218,3.09902
84,0.042,0.254611,0.138271,6.06218,3.08924
86,0.043,0.260674,0.141353,6.06218,3.07946
88,0.044,0.266736,0.144425,6.06218,3.06968
90,0.045,0.272798,0.147488,6.06218,3.0599
92,0.046,0.27886,0.15054,6.06218,3.05012
94,0.047,0.284922,0.153583,6.06218,3.04034
96,0.048,0.290985,0.156616,6.06218,3.03056
98,0.049,0.297047,0.159639,6.06218,3.02078
100,0.05,0.303109,0.162653,6.06218,3.011
102,0.051,0.309171,0.165656,6.06218,3.00122
104,0.052,0.315233,0.16865,6.06218,2.99144
106,0.053,0.321295,0.171634,6.06218,2.98166
108,0.054,0.327358,0.174609,6.06218,2.97188
110,0.055,0.33342,0.177573,6.06218,2.9621
112,0.056,0.339482,0.180528,6.06218,2.95232
114,0.057,0.345544,0.183473,6.06218,2.94254
116,0.058,0.351606,0.186408,6.06218,2.93276
118,0.059,0.357668,0.189334,6.06218,2.92298
120,0.06,0.363731,0.192249,6.06218,2.9132
122,0.061,0.369793,0.195155,6.06218,2.90342
124,0.062,0.375855,0.198051,6.06218,2.89364
126,0.063,0.381917,0.200938,6.06218,2.88386
128,0.064,0.387979,0.203814,6.06218,2.87408
130,0.065,0.394042,0.206681,6.06218,2.8643
132,0.066,0.400104,0.209538,6.06218,2.85452
134,0.067,0.406166,0.212385,6.06218,2.84474
136,0.068,0.412228,0.215222,6.06218,2.83496
138,0.069,0.41829,0.21805,6.06218,2.82518
140,0.07,0.424352,0.220868,6.06218,2.8154
142,0.071,0.430415,0.223676,6.06218,2.80562
144,0.072,0.436477,0.226474,6.06218,2.79584
146,0.073,0.442539,0.229263,6.06218,2.78606
148,0.074,0.448601,0.232041,6.06218,2.77628
150,0.075,0.454663,0.23481,6.06218,2.7665
152,0.076,0.460726,0.23757,6.06218,2.75672
154,0.077,0.466788,0.240319,6.06218,2.74694
156,0.078,0.47285,0.243059,6.06218,2.73716
158,0.079,0.478912,0.245788,6.06218,2.72738
160,0.08,0.484974,0.248508,6.06218,2.7176
162,0.081,0.491036,0.251219,6.06218,2.70782
164,0.082,0.497099,0.253919,6.06218,2.69804
166,0.083,0.503161,0.25661,6.06218,2.68826
168,0.084,0.509223,0.259291,6.06218,2.67848
170,0.085,0.515285,0.261962,6.06218,2.6687
172,0.086,0.521347,0.264623,6.06218,2.65892
174,0.087,0.527409,0.267275,6.06218,2.64914
176,0.088,0.533472,0.269917,6.06218,2.63936
178,0.089,0.539534,0.272549,6.06218,2.62958
180,0.09,0.545596,0.275171,6.06218,2.6198
182,0.091,0.551658,0.277783,6.06218,2.61002
184,0.092,0.55772,0.280386,6.06218,2.60024
186,0.093,0.563783,0.282979,6.06218,2.59046
188,0.094,0.569845,0.285562,6.06218,2.58068
190,0.095,0.575907,0.288135,6.06218,2.5709
192,0.096,0.581969,0.290699,6.06218,2.56112
194,0.097,0.588031,0.293253,6.06218,2.55134
196,0.098,0.594093,0.295797,6.06218,2.54156
198,0.099,0.600156,0.298331,6.06218,2.53178
200,0.1,0.606218,0.300855,6.06218,2.522
202,0.101,0.61228,0.30337,6.06218,2.51222
204,0.102,0.618342,0.305875,6.06218,2.50244
206,0.103,0.624404,0.30837,6.06218,2.49266
208,0.104,0.630466,0.310855,6.06218,2.48288
210,0.105,0.636529,0.313331,6.06218,2.4731
212,0.106,0.642591,0.315797,6.06218,2.46332
214,0.107,0.648653,0.318253,6.06218,2.45354
216,0.108,0.654715,0.320699,6.06218,2.44376
218,0.109,0.660777,0.323135,6.06218,2.43398
220,0.11,0.66684,0.325562,6.06218,2.4242
222,0.111,0.672902,0.327979,6.06218,2.41442
224,0.112,0.678964,0.330386,6.06218,2.40464
226,0.113,0.685026,0.332783,6.06218,2.39486
228,0.114,0.691088,0.335171,6.06218,2.38508
230,0.115,0.69715,0.337549,6.06218,2.3753
232,0.116,0.703213,0.339917,6.06218,2.36552
234,0.117,0.709275,0.342275,6.06218,2.35574
236,0.118,0.715337,0.344623,6.06218,2.34596
238,0.119,0.721399,0.346962,6.06218,2.33618
240,0.12,0.727461,0.349291,6.06218,2.3264
242,0.121,0.733524,0.35161,6.06218,2.31662
244,0.122,0.739586,0.353919,6.06218,2.30684
246,0.123,0.745648,0.356218,6.06218,2.29706
248,0.124,0.75171,0.358508,6.06218,2.28728
250,0.125,0.757772,0.360788,6.06218,2.2775
252,0.126,0.763834,0.363058,6.06218,2.26772
254,0.127,0.769897,0.365319,6.06218,2.25794
256,0.128,0.775959,0.367569,6.06218,2.24816
258,0.129,0.782021,0.36981,6.06218,2.23838
260,0.13,0.788083,0.372041,6.06218,2.2286
262,0.131,0.794145,0.374262,6.06218,2.21882
264,0.132,0.800207,0.376474,6.06218,2.20904
266,0.133,0.80627,0.378676,6.06218,2.19926
268,0.134,0.812332,0.380868,6.06218,2.18948
270,0.135,0.818394,0.38305,6.06218,2.1797
272,0.136,0.824456,0.385222,6.06218,2.16992
274,0.137,0.830518,0.387385,6.06218,2.16014
276,0.138,0.836581,0.389537,6.06218,2.15036
278,0.139,0.842643,0.39168,6.06218,2.14058
280,0.14,0.848705,0.393814,6.06218,2.1308
282,0.141,0.854767,0.395937,6.06218,2.12102
284,0.142,0.860829,0.398051,6.06218,2.11124
286,0.143,0.866891,0.400155,6.06218,2.10146
288,0.144,0.872954,0.402249,6.06218,2.09168
290,0.145,0.879016,0.404333,6.06218,2.0819
292,0.146,0.885078,0.406408,6.06218,2.07212
294,0.147,0.89114,0.408473,6.06218,2.06234
296,0.148,0.897202,0.410528,6.06218,2.05256
298,0.149,0.903264,0.412573,6.06218,2.04278
300,0.15,0.909327,0.414608,6.06218,2.033
302,0.151,0.915389,0.416634,6.06218,2.02322
304,0.152,0.921451,0.41865,6.06218,2.01344
306,0.153,0.927513,0.420656,6.06218,2.00366
308,0.154,0.933575,0.422652,6.06218,1.99388
310,0.155,0.939638,0.424639,6.06218,1.9841
312,0.156,0.9457,0.426616,6.06218,1.97432
314,0.157,0.951762,0.428583,6.06218,1.96454
316,0.158,0.957824,0.43054,6.06218,1.95476
318,0.159,0.963886,0.432487,6.06218,1.94498
320,0.16,0.969948,0.434425,6.06218,1.9352
322,0.161,0.976011,0.436353,6.06218,1.92542
324,0.162,0.982073,0.438271,6.06218,1.91564
326,0.163,0.988135,0.440179,6.06218,1.90586
328,0.164,0.994197,0.442078,6.06218,1.89608
330,0.165,1.00026,0.443966,6.06218,1.8863
332,0.166,1.00632,0.445845,6.06218,1.87652
334,0.167,1.01238,0.447714,6.06218,1.86674
336,0.168,1.01845,0.449574,6.06218,1.85696
338,0.169,1.02451,0.451424,6.06218,1.84718
340,0.17,1.03057,0.453263,6.06218,1.8374
342,0.171,1.03663,0.455093,6.06218,1.82762
344,0.172,1.04269,0.456914,6.06218,1.81784
346,0.173,1.04876,0.458724,6.06218,1.80806
348,0.174,1.05482,0.460525,6.06218,1.79828
350,0.175,1.06088,0.462316,6.06218,1.7885
352,0.176,1.06694,0.464097,6.06218,1.77872
354,0.177,1.07301,0.465868,6.06218,1.76894
356,0.178,1.07907,0.46763,6.06218,1.75916
358,0.179,1.08513,0.469382,6.06218,1.74938
360,0.18,1.09119,0.471124,6.06218,1.7396
362,0.181,1.09725,0.472856,6.06218,1.72982
364,0.182,1.10332,0.474579,6.06218,1.72004
366,0.183,1.10938,0.476291,6.06218,1.71026
368,0.184,1.11544,0.477994,6.06218,1.70048
370,0.185,1.1215,0.479687,6.06218,1.6907
372,0.186,1.12757,0.481371,6.06218,1.68092
374,0.187,1.13363,0.483044,6.06218,1.67114
376,0.188,1.13969,0.484708,6.06218,1.66136
378,0.189,1.14575,0.486362,6.06218,1.65158
380,0.19,1.15181,0.488006,6.06218,1.6418
382,0.191,1.15788,0.489641,6.06218,1.63202
384,0.192,1.16394,0.491266,6.06218,1.62224
386,0.193,1.17,0.492881,6.06218,1.61246
388,0.194,1.17606,0.494486,6.06218,1.60268
390,0.195,1.18212,0.496081,6.06218,1.5929
392,0.196,1.18819,0.497667,6.06218,1.58312
394,0.197,1.19425,0.499242,6.06218,1.57334
396,0.198,1.20031,0.500808,6.06218,1.56356
398,0.199,1.20637,0.502365,6.06218,1.55378
400,0.2,1.21244,0.503911,6.06218,1.544
402,0.201,1.2185,0.505448,6.06218,1.53422
404,0.202,1.22456,0.506975,6.06218,1.52444
406,0.203,1.23062,0.508492,6.06218,1.51466
408,0.204,1.23668,0.509999,6.06218,1.50488
410,0.205,1.24275,0.511497,6.06218,1.4951
412,0.206,1.24881,0.512984,6.06218,1.48532
414,0.207,1.25487,0.514462,6.06218,1.47554
416,0.208,1.26093,0.51593,6.06218,1.46576
418,0.209,1.267,0.517389,6.06218,1.45598
420,0.21,1.27306,0.518838,6.06218,1.4462
422,0.211,1.27912,0.520276,6.06218,1.43642
424,0.212,1.28518,0.521705,6.06218,1.42664
426,0.213,1.29124,0.523125,6.06218,1.41686
428,0.214,1.29731,0.524534,6.06218,1.40708
430,0.215,1.30337,0.525934,6.06218,1.3973
432,0.216,1.30943,0.527324,6.06218,1.38752
434,0.217,1.31549,0.528704,6.06218,1.37774
436,0.218,1.32155,0.530075,6.06218,1.36796
438,0.219,1.32762,0.531435,6.06218,1.35818
440,0.22,1.33368,0.532786,6.06218,1.3484
442,0.221,1.33974,0.534127,6.06218,1.33862
444,0.222,1.3458,0.535458,6.06218,1.32884
446,0.223,1.35187,0.53678,6.06218,1.31906
448,0.224,1.35793,0.538092,6.06218,1.30928
450,0.225,1.36399,0.539394,6.06218,1.2995
452,0.226,1.37005,0.540686,6.06218,1.28972
454,0.227,1.37611,0.541968,6.06218,1.27994
456,0.228,1.38218,0.543241,6.06218,1.27016
458,0.229,1.38824,0.544504,6.06218,1.26038
460,0.23,1.3943,0.545757,6.06218,1.2506
462,0.231,1.40036,0.547,6.06218,1.24082
464,0.232,1.40643,0.548233,6.06218,1.23104
466,0.233,1.41249,0.549457,6.06218,1.22126
468,0.234,1.41855,0.550671,6.06218,1.21148
470,0.235,1.42461,0.551875,6.06218,1.2017
472,0.236,1.43067,0.55307,6.06218,1.19192
474,0.237,1.43674,0.554254,6.06218,1.18214
476,0.238,1.4428,0.555429,6.06218,1.17236
478,0.239,1.44886,0.556594,6.06218,1.16258
480,0.24,1.45492,0.557749,6.06218,1.1528
482,0.241,1.46098,0.558895,6.06218,1.14302
484,0.242,1.46705,0.56003,6.06218,1.13324
486,0.243,1.47311,0.561156,6.06218,1.12346
488,0.244,1.47917,0.562272,6.06218,1.11368
490,0.245,1.48523,0.563379,6.06218,1.1039
492,0.246,1.4913,0.564475,6.06218,1.09412
494,0.247,1.49736,0.565562,6.06218,1.08434
496,0.248,1.50342,0.566639,6.06218,1.07456
498,0.249,1.50948,0.567706,6.06218,1.06478
500,0.25,1.51554,0.568764,6.06218,1.055
502,0.251,1.52161,0.569811,6.06218,1.04522
504,0.252,1.52767,0.570849,6.06218,1.03544
506,0.253,1.53373,0.571877,6.06218,1.02566
508,0.254,1.53979,0.572896,6.06218,1.01588
510,0.255,1.54586,0.573904,6.06218,1.0061
512,0.256,1.55192,0.574903,6.06218,0.99632
514,0.257,1.55798,0.575892,6.06218,0.98654
516,0.258,1.56404,0.576871,6.06218,0.97676
518,0.259,1.5701,0.577841,6.06218,0.96698
520,0.26,1.57617,0.5788,6.06218,0.9572
522,0.261,1.58223,0.57975,6.06218,0.94742
524,0.262,1.58829,0.58069,6.06218,0.93764
526,0.263,1.59435,0.581621,6.06218,0.92786
528,0.264,1.60041,0.582541,6.06218,0.91808
530,0.265,1.60648,0.583452,6.06218,0.9083
532,0.266,1.61254,0.584353,6.06218,0.89852
534,0.267,1.6186,0.585244,6.06218,0.88874
536,0.268,1.62466,0.586125,6.06218,0.87896
538,0.269,1.63073,0.586997,6.06218,0.86918
540,0.27,1.63679,0.587859,6.06218,0.8594
542,0.271,1.64285,0.588711,6.06218,0.84962
544,0.272,1.64891,0.589553,6.06218,0.83984
546,0.273,1.65497,0.590386,6.06218,0.83006
548,0.274,1.66104,0.591208,6.06218,0.82028
550,0.275,1.6671,0.592021,6.06218,0.8105
552,0.276,1.67316,0.592825,6.06218,0.80072
554,0.277,1.67922,0.593618,6.06218,0.79094
556,0.278,1.68529,0.594402,6.06218,0.78116
558,0.279,1.69135,0.595175,6.06218,0.77138
560,0.28,1.69741,0.595939,6.06218,0.7616
562,0.281,1.70347,0.596694,6.06218,0.75182
564,0.282,1.70953,0.597438,6.06218,0.74204
566,0.283,1.7156,0.598173,6.06218,0.73226
568,0.284,1.72166,0.598898,6.06218,0.72248
570,0.285,1.72772,0.599613,6.06218,0.7127
572,0.286,1.73378,0.600318,6.06218,0.70292
574,0.287,1.73985,0.601014,6.06218,0.69314
576,0.288,1.74591,0.6017,6.06218,0.68336
578,0.289,1.75197,0.602376,6.06218,0.67358
580,0.29,1.75803,0.603042,6.06218,0.6638
582,0.291,1.76409,0.603698,6.06218,0.65402
584,0.292,1.77016,0.604345,6.06218,0.64424
586,0.293,1.77622,0.604982,6.06218,0.63446
588,0.294,1.78228,0.605609,6.06218,0.62468
590,0.295,1.78834,0.606226,6.06218,0.6149
592,0.296,1.7944,0.606834,6.06218,0.60512
594,0.297,1.80047,0.607432,6.06218,0.59534
596,0.298,1.80653,0.60802,6.06218,0.58556
598,0.299,1.81259,0.608598,6.06218,0.57578
600,0.3,1.81865,0.609166,6.06218,0.566
602,0.301,1.82472,0.609725,6.06218,0.55622
604,0.302,1.83078,0.610274,6.06218,0.54644
606,0.303,1.83684,0.610813,6.06218,0.53666
608,0.304,1.8429,0.611342,6.06218,0.52688
610,0.305,1.84896,0.611862,6.06218,0.5171
612,0.306,1.85503,0.612372,6.06218,0.50732
614,0.307,1.86109,0.612872,6.06218,0.49754
616,0.308,1.86715,0.613362,6.06218,0.48776
618,0.309,1.87321,0.613842,6.06218,0.47798
620,0.31,1.87928,0.614313,6.06218,0.4682
622,0.311,1.88534,0.614774,6.06218,0.45842
624,0.312,1.8914,0.615225,6.06218,0.44864
626,0.313,1.89746,0.615666,6.06218,0.43886
628,0.314,1.90352,0.616098,6.06218,0.42908
630,0.315,1.90959,0.61652,6.06218,0.4193
632,0.316,1.91565,0.616932,6.06218,0.40952
634,0.317,1.92171,0.617334,6.06218,0.39974
636,0.318,1.92777,0.617726,6.06218,0.38996
638,0.319,1.93383,0.618109,6.06218,0.38018
640,0.32,1.9399,0.618482,6.06218,0.3704
642,0.321,1.94596,0.618845,6.06218,0.36062
644,0.322,1.95202,0.619198,6.06218,0.35084
646,0.323,1.95808,0.619541,6.06218,0.34106
648,0.324,1.96415,0.619875,6.06218,0.33128
650,0.325,1.97021,0.620199,6.06218,0.3215
652,0.326,1.97627,0.620513,6.06218,0.31172
654,0.327,1.98233,0.620818,6.06218,0.30194
656,0.328,1.98839,0.621112,6.06218,0.29216
658,0.329,1.99446,0.621397,6.06218,0.28238
660,0.33,2.00052,0.621672,6.06218,0.2726
662,0.331,2.00658,0.621937,6.06218,0.26282
664,0.332,2.01264,0.622193,6.06218,0.25304
666,0.333,2.01871,0.622439,6.06218,0.24326
668,0.334,2.02477,0.622675,6.06218,0.23348
670,0.335,2.03083,0.622901,6.06218,0.2237
672,0.336,2.03689,0.623117,6.06218,0.21392
674,0.337,2.04295,0.623324,6.06218,0.20414
676,0.338,2.04902,0.62352,6.06218,0.19436
678,0.339,2.05508,0.623707,6.06218,0.18458
680,0.34,2.06114,0.623885,6.06218,0.1748
682,0.341,2.0672,0.624052,6.06218,0.16502
684,0.342,2.07326,0.62421,6.06218,0.15524
686,0.343,2.07933,0.624358,6.06218,0.14546
688,0.344,2.08539,0.624496,6.06218,0.13568
690,0.345,2.09145,0.624624,6.06218,0.1259
692,0.346,2.09751,0.624743,6.06218,0.11612
694,0.347,2.10358,0.624852,6.06218,0.10634
696,0.348,2.10964,0.624951,6.06218,0.09656
698,0.349,2.1157,0.62504,6.06218,0.08678
700,0.35,2.12176,0.625119,6.06218,0.077
702,0.351,2.12782,0.625189,6.06218,0.06722
704,0.352,2.13389,0.625249,6.06218,0.05744
706,0.353,2.13995,0.625299,6.06218,0.04766
708,0.354,2.14601,0.625339,6.06218,0.03788
710,0.355,2.15207,0.62537,6.06218,0.0281
712,0.356,2.15814,0.625391,6.06218,0.01832
714,0.357,2.1642,0.625402,6.06218,0.00854
716,0.358,2.17026,0.625403,6.06218,-0.00124
718,0.359,2.17632,0.625394,6.06218,-0.01102
720,0.36,2.18238,0.625376,6.06218,-0.0208
722,0.361,2.18845,0.625348,6.06218,-0.03058
724,0.362,2.19451,0.62531,6.06218,-0.04036
726,0.363,2.20057,0.625262,6.06218,-0.05014
728,0.364,2.20663,0.625205,6.06218,-0.05992
730,0.365,2.21269,0.625137,6.06218,-0.0697
732,0.366,2.21876,0.62506,6.06218,-0.07948
734,0.367,2.22482,0.624973,6.06218,-0.08926
736,0.368,2.23088,0.624877,6.06218,-0.09904
738,0.369,2.23694,0.624771,6.06218,-0.10882
740,0.37,2.24301,0.624654,6.06218,-0.1186
742,0.371,2.24907,0.624528,6.06218,-0.12838
744,0.372,2.25513,0.624393,6.06218,-0.13816
746,0.373,2.26119,0.624247,6.06218,-0.14794
748,0.374,2.26725,0.624092,6.06218,-0.15772
750,0.375,2.27332,0.623927,6.06218,-0.1675
752,0.376,2.27938,0.623752,6.06218,-0.17728
754,0.377,2.28544,0.623567,6.06218,-0.18706
756,0.378,2.2915,0.623373,6.06218,-0.19684
758,0.379,2.29757,0.623169,6.06218,-0.20662
760,0.38,2.30363,0.622955,6.06218,-0.2164
762,0.381,2.30969,0.622731,6.06218,-0.22618
764,0.382,2.31575,0.622498,6.06218,-0.23596
766,0.383,2.32181,0.622254,6.06218,-0.24574
768,0.384,2.32788,0.622001,6.06218,-0.25552
770,0.385,2.33394,0.621738,6.06218,-0.2653
772,0.386,2.34,0.621466,6.06218,-0.27508
774,0.387,2.34606,0.621183,6.06218,-0.28486
776,0.388,2.35212,0.620891,6.06218,-0.29464
778,0.389,2.35819,0.620589,6.06218,-0.30442
780,0.39,2.36425,0.620277,6.06218,-0.3142
782,0.391,2.37031,0.619956,6.06218,-0.32398
784,0.392,2.37637,0.619625,6.06218,-0.33376
786,0.393,2.38244,0.619284,6.06218,-0.34354
788,0.394,2.3885,0.618933,6.06218,-0.35332
790,0.395,2.39456,0.618572,6.06218,-0.3631
792,0.396,2.40062,0.618202,6.06218,-0.37288
794,0.397,2.40668,0.617821,6.06218,-0.38266
796,0.398,2.41275,0.617431,6.06218,-0.39244
798,0.399,2.41881,0.617032,6.06218,-0.40222
800,0.4,2.42487,0.616622,6.06218,-0.412
802,0.401,2.43093,0.616203,6.06218,-0.42178
804,0.402,2.437,0.615774,6.06218,-0.43156
806,0.403,2.44306,0.615335,6.06218,-0.44134
808,0.404,2.44912,0.614886,6.06218,-0.45112
810,0.405,2.45518,0.614428,6.06218,-0.4609
812,0.406,2.46124,0.613959,6.06218,-0.47068
814,0.407,2.46731,0.613481,6.06218,-0.48046
816,0.408,2.47337,0.612993,6.06218,-0.49024
818,0.409,2.47943,0.612496,6.06218,-0.50002
820,0.41,2.48549,0.611989,6.06218,-0.5098
822,0.411,2.49156,0.611471,6.06218,-0.51958
824,0.412,2.49762,0.610944,6.06218,-0.52936
826,0.413,2.50368,0.610408,6.06218,-0.53914
828,0.414,2.50974,0.609861,6.06218,-0.54892
830,0.415,2.5158,0.609305,6.06218,-0.5587
832,0.416,2.52187,0.608739,6.06218,-0.56848
834,0.417,2.52793,0.608163,6.06218,-0.57826
836,0.418,2.53399,0.607578,6.06218,-0.58804
838,0.419,2.54005,0.606982,6.06218,-0.59782
840,0.42,2.54611,0.606377,6.06218,-0.6076
842,0.421,2.55218,0.605762,6.06218,-0.61738
844,0.422,2.55824,0.605137,6.06218,-0.62716
846,0.423,2.5643,0.604503,6.06218,-0.63694
848,0.424,2.57036,0.603859,6.06218,-0.64672
850,0.425,2.57643,0.603205,6.06218,-0.6565
852,0.426,2.58249,0.602541,6.06218,-0.66628
854,0.427,2.58855,0.601867,6.06218,-0.67606
856,0.428,2.59461,0.601184,6.06218,-0.68584
858,0.429,2.60067,0.600491,6.06218,-0.69562
860,0.43,2.60674,0.599788,6.06218,-0.7054
862,0.431,2.6128,0.599075,6.06218,-0.71518
864,0.432,2.61886,0.598352,6.06218,-0.72496
866,0.433,2.62492,0.59762,6.06218,-0.73474
868,0.434,2.63099,0.596878,6.06218,-0.74452
870,0.435,2.63705,0.596126,6.06218,-0.7543
872,0.436,2.64311,0.595365,6.06218,-0.76408
874,0.437,2.64917,0.594593,6.06218,-0.77386
876,0.438,2.65523,0.593812,6.06218,-0.78364
878,0.439,2.6613,0.593021,6.06218,-0.79342
880,0.44,2.66736,0.59222,6.06218,-0.8032
882,0.441,2.67342,0.59141,6.06218,-0.81298
884,0.442,2.67948,0.590589,6.06218,-0.82276
886,0.443,2.68554,0.589759,6.06218,-0.83254
888,0.444,2.69161,0.588919,6.06218,-0.84232
890,0.445,2.69767,0.58807,6.06218,-0.8521
892,0.446,2.70373,0.58721,6.06218,-0.86188
894,0.447,2.70979,0.586341,6.06218,-0.87166
896,0.448,2.71586,0.585462,6.06218,-0.88144
898,0.449,2.72192,0.584573,6.06218,-0.89122
900,0.45,2.72798,0.583675,6.06218,-0.901
902,0.451,2.73404,0.582766,6.06218,-0.91078
904,0.452,2.7401,0.581848,6.06218,-0.92056
906,0.453,2.74617,0.58092,6.06218,-0.93034
908,0.454,2.75223,0.579983,6.06218,-0.94012
910,0.455,2.75829,0.579035,6.06218,-0.9499
912,0.456,2.76435,0.578078,6.06218,-0.95968
914,0.457,2.77042,0.577111,6.06218,-0.96946
916,0.458,2.77648,0.576134,6.06218,-0.97924
918,0.459,2.78254,0.575148,6.06218,-0.98902
920,0.46,2.7886,0.574151,6.06218,-0.9988
922,0.461,2.79466,0.573145,6.06218,-1.00858
924,0.462,2.80073,0.572129,6.06218,-1.01836
926,0.463,2.80679,0.571104,6.06218,-1.02814
928,0.464,2.81285,0.570068,6.06218,-1.03792
930,0.465,2.81891,0.569023,6.06218,-1.0477
932,0.466,2.82497,0.567968,6.06218,-1.05748
934,0.467,2.83104,0.566903,6.06218,-1.06726
936,0.468,2.8371,0.565828,6.06218,-1.07704
938,0.469,2.84316,0.564744,6.06218,-1.08682
940,0.47,2.84922,0.56365,6.06218,-1.0966
942,0.471,2.85529,0.562546,6.06218,-1.10638
944,0.472,2.86135,0.561432,6.06218,-1.11616
946,0.473,2.86741,0.560309,6.06218,-1.12594
948,0.474,2.87347,0.559175,6.06218,-1.13572
950,0.475,2.87953,0.558032,6.06218,-1.1455
952,0.476,2.8856,0.55688,6.06218,-1.15528
954,0.477,2.89166,0.555717,6.06218,-1.16506
956,0.478,2.89772,0.554545,6.06218,-1.17484
958,0.479,2.90378,0.553362,6.06218,-1.18462
960,0.48,2.90985,0.55217,6.06218,-1.1944
962,0.481,2.91591,0.550969,6.06218,-1.20418
