"i","ai","bi","ri","f(ri)","f(ai)","f(b1)"
0,1.1,1.5,1.14533646489874,0.0408149239857771,0.0364537216042148,-0.28517454549276
1,1.14533646489874,1.5,1.18974147359071,0.0370627513427105,0.0408149239857771,-0.28517454549276
2,1.18974147359071,1.5,1.22542646328368,0.0278579909019082,0.0370627513427105,-0.28517454549276
3,1.22542646328368,1.5,1.24986183724143,0.0181512623235215,0.0278579909019082,-0.28517454549276
4,1.24986183724143,1.5,1.26483030775188,0.0107657177075363,0.0181512623235215,-0.28517454549276
5,1.26483030775188,1.5,1.27338531305171,0.00603619168120363,0.0107657177075363,-0.28517454549276
6,1.27338531305171,1.5,1.27808256323372,0.00327879377216399,0.00603619168120363,-0.28517454549276
7,1.27808256323372,1.5,1.28060505616606,0.00175049139992201,0.00327879377216399,-0.28517454549276
8,1.28060505616606,1.5,1.28194355547071,0.000925957595479378,0.00175049139992201,-0.28517454549276
9,1.28194355547071,1.5,1.28264929006004,0.000487412044503861,0.000925957595479378,-0.28517454549276
10,1.28264929006004,1.5,1.28302014572042,0.000255906725300726,0.000487412044503861,-0.28517454549276
11,1.28302014572042,1.5,1.28321468209008,0.000134177309160918,0.000255906725300726,-0.28517454549276
12,1.28321468209008,1.5,1.28331663365446,7.03020636506588e-05,0.000134177309160918,-0.28517454549276
13,1.28331663365446,1.5,1.28337003790679,3.68209914526342e-05,7.03020636506588e-05,-0.28517454549276
14,1.28337003790679,1.5,1.28339800498987,1.92813858478042e-05,3.68209914526342e-05,-0.28517454549276
15,1.28339800498987,1.5,1.28341264901876,1.00957059164929e-05,1.92813858478042e-05,-0.28517454549276
16,1.28341264901876,1.5,1.28342031633981,5.28581464635889e-06,1.00957059164929e-05,-0.28517454549276
17,1.28342031633981,1.5,1.28342433064916,2.76741963605093e-06,5.28581464635889e-06,-0.28517454549276
18,1.28342433064916,1.5,1.28342643234426,1.44887775530684e-06,2.76741963605093e-06,-0.28517454549276
19,1.28342643234426,1.5,1.28342753267749,7.58551620999863e-07,1.44887775530684e-06,-0.28517454549276
20,1.28342753267749,1.5,1.2834281087491,3.9713374670161e-07,7.58551620999863e-07,-0.28517454549276
"Resultado Final",1.2834281087491
