"i","ri-1","ri","f(ri-1)","f(ri)","ri+1","f(r1+1)"
1,1.5,2,-0.285175,-3.33744,1.45328,-0.194527
2,2,1.45328,-3.33744,-0.194527,1.41945,-0.140068
3,1.45328,1.41945,-0.194527,-0.140068,1.33241,-0.037332
4,1.41945,1.33241,-0.140068,-0.037332,1.30079,-0.0117002
5,1.33241,1.30079,-0.037332,-0.0117002,1.28635,-0.00185747
6,1.30079,1.28635,-0.0117002,-0.00185747,1.28363,-0.000125689
7,1.28635,1.28363,-0.00185747,-0.000125689,1.28343,-1.53273e-06
8,1.28363,1.28343,-0.000125689,-1.53273e-06,1.28343,-1.29329e-09
9,1.28343,1.28343,-1.53273e-06,-1.29329e-09,1.28343,-1.33279e-14
"Resultado Final",1.28343
