"i","ai","bi","ri","f(ri)","f(ai)","f(b1)"
0,0.5,1.5,0.654815310538371,-0.180229674430626,-0.229425538604203,1.25250501339595
1,0.654815310538371,1.5,0.761134619137297,-0.110417505848894,-0.180229674430626,1.25250501339595
2,0.761134619137297,1.5,0.820993981178036,-0.0577924663384805,-0.110417505848894,1.25250501339595
3,0.820993981178036,1.5,0.850942472336203,-0.0277989960159886,-0.0577924663384805,1.25250501339595
4,0.850942472336203,1.5,0.865035334260427,-0.0128320528559664,-0.0277989960159886,1.25250501339595
5,0.865035334260427,1.5,0.871474646258594,-0.00581093761699535,-0.0128320528559664,1.25250501339595
6,0.871474646258594,1.5,0.874377193602408,-0.00260865976533366,-0.00581093761699535,1.25250501339595
7,0.874377193602408,1.5,0.875677503748192,-0.00116651325054906,-0.00260865976533366,1.25250501339595
8,0.875677503748192,1.5,0.8762584218348,-0.000520716878403738,-0.00116651325054906,1.25250501339595
9,0.8762584218348,1.5,0.876517628616963,-0.000232259860001284,-0.000520716878403738,1.25250501339595
10,0.876517628616963,1.5,0.876633223427928,-0.000103560759208592,-0.000232259860001284,1.25250501339595
11,0.876633223427928,1.5,0.876684760945697,-4.61688187381856e-05,-0.000103560759208592,1.25250501339595
"Resultado Final",0.876684760945697
