"i","ri","f(ri)","f'(r1)","ri+1"
0,1,-8,12,1.66667
1,1.66667,-2.37037,5.33333,2.11111
2,2.11111,-0.702332,2.37037,2.40741
3,2.40741,-0.208098,1.0535,2.60494
4,2.60494,-0.0616588,0.468221,2.73663
5,2.73663,-0.0182693,0.208098,2.82442
6,2.82442,-0.00541312,0.0924882,2.88294
7,2.88294,-0.00160389,0.0411058,2.92196
8,2.92196,-0.000475226,0.0182693,2.94798
9,2.94798,-0.000140808,0.00811967,2.96532
10,2.96532,-4.17208e-05,0.00360874,2.97688
11,2.97688,-1.23617e-05,0.00160389,2.98459
12,2.98459,-3.66273e-06,0.000712838,2.98972
13,2.98972,-1.08525e-06,0.000316817,2.99315
14,2.99315,-3.21556e-07,0.000140808,2.99543
15,2.99543,-9.5276e-08,6.25811e-05,2.99696
16,2.99696,-2.82299e-08,2.78138e-05,2.99797
17,2.99797,-8.36442e-09,1.23617e-05,2.99865
18,2.99865,-2.47835e-09,5.49409e-06,2.9991
19,2.9991,-7.34325e-10,2.44182e-06,2.9994
20,2.9994,-2.17578e-10,1.08525e-06,2.9996
21,2.9996,-6.44675e-11,4.82335e-07,2.99973
22,2.99973,-1.91015e-11,2.14371e-07,2.99982
"Resultado actual",2.99982
