"TiempoVuelo",1.44603
"Elevacion",2.55624
"Alcance",10.2249
"Velocidad en X",7.07107
"Tiempo","Posicion en X","Posicion en Y","Velocidad en Y"
0,0,0,7.07107
0.1,0.707107,0.658207,6.09307
0.2,1.41421,1.21861,5.11507
0.3,2.12132,1.68122,4.13707
0.4,2.82843,2.04603,3.15907
0.5,3.53553,2.31303,2.18107
0.6,4.24264,2.48224,1.20307
0.7,4.94975,2.55365,0.225068
0.8,5.65685,2.52725,-0.752932
0.9,6.36396,2.40306,-1.73093
1,7.07107,2.18107,-2.70893
1.1,7.77817,1.86127,-3.68693
1.2,8.48528,1.44368,-4.66493
1.3,9.19239,0.928288,-5.64293
1.4,9.89949,0.315095,-6.62093
