"t","x","v","a","F","Ec","Ey","<E></E>t"
0,0.1,0,5.768,0,0,0.0025,0.0025
0.01,0.100016,-0.00100009,5.76798,0,2.50044e-07,0.00250078,0.00250103
0.02,0.100021,-0.00200029,5.76798,0,1.00029e-06,0.00250106,0.00250206
0.03,0.100017,-0.00300049,5.76798,0,2.25074e-06,0.00250084,0.00250309
0.04,0.100002,-0.00400061,5.768,0,4.00122e-06,0.00250012,0.00250412
0.05,0.100014,0.00338219,-5.96801,0,2.85981e-06,0.0025007,0.00250356
0.06,0.100021,0.00238202,-5.96802,0,1.4185e-06,0.00250107,0.00250249
0.07,0.100019,0.00138181,-5.96802,0,4.77353e-07,0.00250095,0.00250142
0.08,0.100006,0.000381682,-5.96801,0,3.64203e-08,0.00250032,0.00250036
0.09,0.100008,-0.000618347,5.76799,0,9.55882e-08,0.00250039,0.00250049
0.1,0.100017,-0.00161848,5.76798,0,6.54873e-07,0.00250086,0.00250152
0.11,0.100017,-0.00261867,5.76798,0,1.71436e-06,0.00250084,0.00250255
0.12,0.100006,-0.0036188,5.76799,0,3.27394e-06,0.00250031,0.00250358
0.13,0.100003,0.00376405,-5.968,0,3.54201e-06,0.00250017,0.00250372
0.14,0.100015,0.00276396,-5.96801,0,1.90986e-06,0.00250074,0.00250265
0.15,0.100016,0.0017638,-5.96802,0,7.77749e-07,0.00250081,0.00250159
0.16,0.100007,0.00076368,-5.96801,0,1.45802e-07,0.00250037,0.00250052
0.17,0.0999948,-0.000236313,5.76801,0,1.3961e-08,0.00249974,0.00249975
0.18,0.100008,-0.00123634,5.76799,0,3.82133e-07,0.0025004,0.00250078
0.19,0.100011,-0.00223645,5.76799,0,1.25043e-06,0.00250056,0.00250181
0.2,0.100004,-0.00323655,5.768,0,2.61881e-06,0.00250022,0.00250284
0.21,0.0999877,-0.00423653,5.76801,0,4.48704e-06,0.00249939,0.00250387
0.22,0.100003,0.00314638,-5.968,0,2.47493e-06,0.00250014,0.00250262
0.23,0.100008,0.00214633,-5.96801,0,1.15168e-06,0.0025004,0.00250155
0.24,0.100003,0.00114627,-5.968,0,3.28483e-07,0.00250016,0.00250049
0.25,0.0999883,0.000146305,-5.96799,0,5.35127e-09,0.00249942,0.00249942
0.26,0.0999934,-0.000853571,5.76801,0,1.82146e-07,0.00249967,0.00249985
0.27,0.1,-0.00185355,5.768,0,8.58915e-07,0.00250002,0.00250088
0.28,0.0999975,-0.00285356,5.768,0,2.0357e-06,0.00249988,0.00250191
0.29,0.0999846,-0.00385349,5.76802,0,3.71235e-06,0.00249923,0.00250294
0.3,0.0999916,0.00352953,-5.96799,0,3.11439e-06,0.00249958,0.00250269
0.31,0.100001,0.00252957,-5.968,0,1.59968e-06,0.00250003,0.00250163
0.32,0.0999996,0.00152956,-5.968,0,5.84892e-07,0.00249998,0.00250056
0.33,0.0999885,0.000529619,-5.96799,0,7.01242e-08,0.00249943,0.0024995
0.34,0.0999855,-0.000470208,5.76801,0,5.52738e-08,0.00249927,0.00249933
0.35,0.0999964,-0.00147013,5.768,0,5.4032e-07,0.00249982,0.00250036
0.36,0.0999973,-0.00247011,5.768,0,1.52536e-06,0.00249986,0.00250139
0.37,0.0999882,-0.00347006,5.76801,0,3.01033e-06,0.00249941,0.00250242
0.38,0.0999811,0.00391298,-5.96798,0,3.82785e-06,0.00249905,0.00250288
0.39,0.0999939,0.00291311,-5.96799,0,2.12155e-06,0.00249969,0.00250182
0.4,0.0999967,0.00191316,-5.968,0,9.15042e-07,0.00249983,0.00250075
0.41,0.0999895,0.000913222,-5.96799,0,2.08494e-07,0.00249948,0.00249968
0.42,0.0999723,-8.65941e-05,5.76803,0,1.87463e-09,0.00249862,0.00249862
0.43,0.0999871,-0.0010864,5.76801,0,2.95067e-07,0.00249935,0.00249965
0.44,0.0999918,-0.00208631,5.76801,0,1.08817e-06,0.00249959,0.00250068
0.45,0.0999865,-0.00308622,5.76801,0,2.38119e-06,0.00249933,0.00250171
0.46,0.0999713,-0.00408603,5.76803,0,4.17391e-06,0.00249856,0.00250274
0.47,0.0999819,0.00329709,-5.96798,0,2.7177e-06,0.0024991,0.00250182
0.48,0.0999886,0.00229724,-5.96799,0,1.31932e-06,0.00249943,0.00250075
0.49,0.0999853,0.00129737,-5.96799,0,4.20789e-07,0.00249926,0.00249968
0.5,0.0999719,0.000297574,-5.96797,0,2.21375e-08,0.0024986,0.00249862
0.51,0.0999725,-0.000702107,5.76803,0,1.23238e-07,0.00249863,0.00249875
0.52,0.0999811,-0.00170189,5.76802,0,7.24105e-07,0.00249906,0.00249978
0.53,0.0999797,-0.00270171,5.76802,0,1.82481e-06,0.00249899,0.00250081
0.54,0.0999683,-0.00370147,5.76803,0,3.42522e-06,0.00249841,0.00250184
0.55,0.0999708,0.00368174,-5.96797,0,3.3888e-06,0.00249854,0.00250193
0.56,0.0999813,0.00268198,-5.96798,0,1.79826e-06,0.00249907,0.00250086
0.57,0.0999818,0.00168216,-5.96798,0,7.07419e-07,0.00249909,0.0024998
0.58,0.0999723,0.000682389,-5.96797,0,1.16414e-07,0.00249862,0.00249873
0.59,0.0999648,-0.000317261,5.76804,0,2.51637e-08,0.00249824,0.00249827
0.6,0.0999773,-0.00131698,5.76802,0,4.33611e-07,0.00249886,0.0024993
0.61,0.0999797,-0.00231678,5.76802,0,1.34187e-06,0.00249898,0.00250033
0.62,0.0999721,-0.00331656,5.76803,0,2.74989e-06,0.00249861,0.00250136
0.63,0.0999605,0.00406664,-5.96796,0,4.13439e-06,0.00249803,0.00250216
0.64,0.0999749,0.00306697,-5.96797,0,2.35157e-06,0.00249875,0.0025011
0.65,0.0999793,0.0020672,-5.96798,0,1.06833e-06,0.00249896,0.00250003
0.66,0.0999736,0.00106743,-5.96797,0,2.84852e-07,0.00249868,0.00249897
0.67,0.099958,6.77666e-05,-5.96796,0,1.14808e-09,0.0024979,0.0024979
0.68,0.0999683,-0.000931849,5.76803,0,2.17086e-07,0.00249841,0.00249863
0.69,0.0999746,-0.00193158,5.76803,0,9.32747e-07,0.00249873,0.00249966
0.7,0.0999708,-0.00293132,5.76803,0,2.14816e-06,0.00249854,0.00250069
0.71,0.0999571,-0.00393098,5.76804,0,3.86315e-06,0.00249786,0.00250172
0.72,0.0999634,0.00345231,-5.96796,0,2.97962e-06,0.00249817,0.00250115
0.73,0.0999716,0.00245264,-5.96797,0,1.50386e-06,0.00249858,0.00250008
0.74,0.0999698,0.00145293,-5.96797,0,5.27753e-07,0.00249849,0.00249902
0.75,0.099958,0.000453289,-5.96796,0,5.13677e-08,0.0024979,0.00249795
0.76,0.0999542,-0.000546229,5.76805,0,7.45917e-08,0.00249771,0.00249778
0.77,0.0999643,-0.00154583,5.76804,0,5.97401e-07,0.00249822,0.00249881
0.78,0.0999645,-0.00254549,5.76804,0,1.61988e-06,0.00249822,0.00249984
0.79,0.0999546,-0.00354511,5.76805,0,3.14195e-06,0.00249773,0.00250087
0.8,0.0999467,0.00383827,-5.96795,0,3.68308e-06,0.00249734,0.00250102
0.81,0.0999588,0.00283875,-5.96796,0,2.01462e-06,0.00249794,0.00249996
0.82,0.0999609,0.00183915,-5.96796,0,8.45616e-07,0.00249804,0.00249889
0.83,0.099953,0.000839574,-5.96795,0,1.76221e-07,0.00249765,0.00249783
0.84,0.099941,-0.000159877,5.76806,0,6.39018e-09,0.00249705,0.00249706
0.85,0.099955,-0.00115937,5.76804,0,3.36034e-07,0.00249775,0.00249809
0.86,0.0999591,-0.00215895,5.76804,0,1.16527e-06,0.00249795,0.00249912
